rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11
"Allen, Ruth Ryan","Fantini, Alfred B.","Bowman, Mannika L.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Rojas Villareal, Jose Luis","Wilson, Ayesha","Lim, Christopher","Fantini, Alfred B.","Kadete, Elechi M.","Bowman, Mannika L.",skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Allen, Ruth Ryan","Fantini, Alfred B.","Dawson, Bernette J.","Rojas Villareal, Jose Luis",skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Dawson, Bernette J.","Dexter, Emily R.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Bowman, Mannika L.","Lim, Christopher",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstain, Rachel","Dawson, Bernette J.","Lim, Christopher","Rojas Villareal, Jose Luis","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped
"Lim, Christopher","Weinstain, Rachel","Weinstein, David J.","Wilson, Ayesha","Allen, Ruth Ryan","Dawson, Bernette J.","Bowman, Mannika L.","Fantini, Alfred B.","Dexter, Emily R.","Kadete, Elechi M.",skipped
"Weinstain, Rachel","Bowman, Mannika L.","Rojas Villareal, Jose Luis","Wilson, Ayesha","Lim, Christopher",skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstain, Rachel","Bowman, Mannika L.","Wilson, Ayesha","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Bowman, Mannika L.","Rojas Villareal, Jose Luis","Weinstain, Rachel","Weinstein, David J.","Wilson, Ayesha","Kadete, Elechi M.",skipped,skipped,skipped,skipped
"Wilson, Ayesha","Kadete, Elechi M.","Weinstain, Rachel","Allen, Ruth Ryan","Weinstein, David J.","Dawson, Bernette J.","Rojas Villareal, Jose Luis",skipped,skipped,skipped,skipped
"Dawson, Bernette J.","Bowman, Mannika L.","Allen, Ruth Ryan","Wilson, Ayesha","Weinstain, Rachel","Weinstein, David J.","Rojas Villareal, Jose Luis","Lim, Christopher","Kadete, Elechi M.","Fantini, Alfred B.","Dexter, Emily R."
"Wilson, Ayesha","Kadete, Elechi M.","Dawson, Bernette J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Dawson, Bernette J.","Wilson, Ayesha","Bowman, Mannika L.","Fantini, Alfred B.","Rojas Villareal, Jose Luis","Lim, Christopher","Weinstain, Rachel","Allen, Ruth Ryan","Weinstein, David J.","Kadete, Elechi M."
skipped,skipped,"Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Dawson, Bernette J.","Bowman, Mannika L.","Kadete, Elechi M.","Weinstein, David J.","Lim, Christopher","Rojas Villareal, Jose Luis","Fantini, Alfred B.","Dexter, Emily R.","Allen, Ruth Ryan","Weinstain, Rachel"
"Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Bowman, Mannika L.","Wilson, Ayesha","Dawson, Bernette J.","Weinstain, Rachel","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped
"Dawson, Bernette J.","Rojas Villareal, Jose Luis","Lim, Christopher","Allen, Ruth Ryan","Weinstain, Rachel","Wilson, Ayesha","Dexter, Emily R.",skipped,skipped,skipped,skipped
"Wilson, Ayesha","Allen, Ruth Ryan",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Rojas Villareal, Jose Luis","Weinstain, Rachel","Fantini, Alfred B.","Weinstein, David J.","Allen, Ruth Ryan",skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Rojas Villareal, Jose Luis",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dawson, Bernette J.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstain, Rachel","Bowman, Mannika L.","Dawson, Bernette J.","Lim, Christopher","Rojas Villareal, Jose Luis","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped
"Kadete, Elechi M.","Bowman, Mannika L.","Dexter, Emily R.","Fantini, Alfred B.","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped
"Kadete, Elechi M.","Rojas Villareal, Jose Luis","Weinstein, David J.","Wilson, Ayesha","Fantini, Alfred B.","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Bowman, Mannika L.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Bowman, Mannika L.","Dawson, Bernette J.","Weinstein, David J.","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Bowman, Mannika L.","Dexter, Emily R.","Fantini, Alfred B.","Allen, Ruth Ryan","Lim, Christopher","Kadete, Elechi M.","Rojas Villareal, Jose Luis","Weinstein, David J.","Weinstain, Rachel",skipped
"Weinstain, Rachel","Bowman, Mannika L.","Dexter, Emily R.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Kadete, Elechi M.","Allen, Ruth Ryan","Lim, Christopher","Bowman, Mannika L.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Bowman, Mannika L.","Wilson, Ayesha","Weinstain, Rachel","Allen, Ruth Ryan","Rojas Villareal, Jose Luis","Kadete, Elechi M.","Fantini, Alfred B.","Lim, Christopher","Weinstein, David J.","Dawson, Bernette J."
"Bowman, Mannika L.","Dexter, Emily R.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Lim, Christopher","Rojas Villareal, Jose Luis","Fantini, Alfred B.","Kadete, Elechi M.","Weinstain, Rachel","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Bowman, Mannika L.","Dexter, Emily R.","Fantini, Alfred B.","Lim, Christopher",skipped,skipped,skipped,skipped,skipped,skipped
"Kadete, Elechi M.","Dawson, Bernette J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Bowman, Mannika L.","Lim, Christopher","Weinstain, Rachel","Weinstein, David J.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Weinstein, David J.","Rojas Villareal, Jose Luis","Kadete, Elechi M.","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped
"Allen, Ruth Ryan","Dexter, Emily R.","Weinstain, Rachel","Dawson, Bernette J.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Bowman, Mannika L.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Lim, Christopher",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Rojas Villareal, Jose Luis","Dexter, Emily R.","Fantini, Alfred B.","Lim, Christopher","Weinstain, Rachel","Weinstein, David J.","Wilson, Ayesha",skipped,skipped,skipped
"Wilson, Ayesha","Lim, Christopher","Rojas Villareal, Jose Luis","Weinstein, David J.","Weinstain, Rachel","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Bowman, Mannika L.","Weinstain, Rachel","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kadete, Elechi M.","Wilson, Ayesha","Dexter, Emily R.","Rojas Villareal, Jose Luis","Bowman, Mannika L.","Dawson, Bernette J.",skipped,skipped,skipped,skipped,skipped
"Dawson, Bernette J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kadete, Elechi M.","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Allen, Ruth Ryan","Dexter, Emily R.","Dawson, Bernette J.","Fantini, Alfred B.","Lim, Christopher","Rojas Villareal, Jose Luis","Kadete, Elechi M.","Wilson, Ayesha","Weinstein, David J.","Weinstain, Rachel","Bowman, Mannika L."
"Lim, Christopher",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Rojas Villareal, Jose Luis","Fantini, Alfred B.","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,"Rojas Villareal, Jose Luis","Fantini, Alfred B.",skipped,skipped,skipped,skipped
"Wilson, Ayesha","Weinstain, Rachel","Bowman, Mannika L.","Dawson, Bernette J.","Weinstein, David J.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped
"Rojas Villareal, Jose Luis","Bowman, Mannika L.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Dexter, Emily R.","Allen, Ruth Ryan","Lim, Christopher",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Rojas Villareal, Jose Luis",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstain, Rachel","Dawson, Bernette J.","Wilson, Ayesha","Lim, Christopher","Fantini, Alfred B.","Rojas Villareal, Jose Luis","Bowman, Mannika L.",skipped,skipped,skipped,skipped
"Kadete, Elechi M.","Wilson, Ayesha","Rojas Villareal, Jose Luis","Dexter, Emily R.","Allen, Ruth Ryan","Bowman, Mannika L.","Fantini, Alfred B.","Lim, Christopher","Weinstein, David J.","Weinstain, Rachel","Dawson, Bernette J."
"Dexter, Emily R.","Allen, Ruth Ryan","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstein, David J.","Bowman, Mannika L.","Dexter, Emily R.","Weinstain, Rachel","Lim, Christopher",skipped,skipped,skipped,skipped,skipped,skipped
"Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Dawson, Bernette J.","Dexter, Emily R.","Fantini, Alfred B.","Lim, Christopher","Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped
"Rojas Villareal, Jose Luis","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Kadete, Elechi M.","Rojas Villareal, Jose Luis","Wilson, Ayesha","Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped,skipped
"Weinstain, Rachel","Fantini, Alfred B.","Bowman, Mannika L.","Rojas Villareal, Jose Luis","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped
"Weinstain, Rachel","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Dawson, Bernette J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Dawson, Bernette J.","Wilson, Ayesha","Kadete, Elechi M.","Allen, Ruth Ryan","Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped
"Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Lim, Christopher","Dawson, Bernette J.","Wilson, Ayesha","Rojas Villareal, Jose Luis","Kadete, Elechi M.","Dexter, Emily R.",skipped,skipped,skipped,skipped
"Lim, Christopher","Dexter, Emily R.","Fantini, Alfred B.","Allen, Ruth Ryan","Dawson, Bernette J.","Rojas Villareal, Jose Luis","Weinstein, David J.","Weinstain, Rachel","Bowman, Mannika L.","Wilson, Ayesha","Kadete, Elechi M."
"Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstain, Rachel","Weinstein, David J.","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Rojas Villareal, Jose Luis","Bowman, Mannika L.","Kadete, Elechi M.","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Bowman, Mannika L.","Wilson, Ayesha","Dawson, Bernette J.","Weinstain, Rachel","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Weinstein, David J.","Kadete, Elechi M.","Rojas Villareal, Jose Luis","Dexter, Emily R.","Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Rojas Villareal, Jose Luis","Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Lim, Christopher","Kadete, Elechi M.","Dexter, Emily R.","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstein, David J.","Fantini, Alfred B.","Weinstain, Rachel","Rojas Villareal, Jose Luis","Dexter, Emily R.","Lim, Christopher","Bowman, Mannika L.",skipped,skipped,skipped,skipped
"Kadete, Elechi M.","Wilson, Ayesha","Allen, Ruth Ryan",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Lim, Christopher","Fantini, Alfred B.","Dawson, Bernette J.","Rojas Villareal, Jose Luis","Weinstain, Rachel","Wilson, Ayesha","Bowman, Mannika L.","Dexter, Emily R.","Kadete, Elechi M.","Weinstein, David J.","Allen, Ruth Ryan"
"Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstain, Rachel","Wilson, Ayesha","Dexter, Emily R.","Dawson, Bernette J.","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped
"Allen, Ruth Ryan","Dawson, Bernette J.","Dexter, Emily R.","Lim, Christopher",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Weinstain, Rachel","Dawson, Bernette J.","Bowman, Mannika L.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Lim, Christopher","Allen, Ruth Ryan","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Rojas Villareal, Jose Luis","Weinstain, Rachel","Fantini, Alfred B.","Weinstein, David J.","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped
"Kadete, Elechi M.","Dexter, Emily R.","Lim, Christopher","Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.","Fantini, Alfred B.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstain, Rachel","Rojas Villareal, Jose Luis","Wilson, Ayesha","Kadete, Elechi M.","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Bowman, Mannika L.","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Lim, Christopher","Rojas Villareal, Jose Luis","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Wilson, Ayesha","Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dawson, Bernette J.","Lim, Christopher",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstain, Rachel","Dexter, Emily R.","Bowman, Mannika L.","Weinstein, David J.","Lim, Christopher","Rojas Villareal, Jose Luis","Wilson, Ayesha","Dawson, Bernette J.","Allen, Ruth Ryan","Kadete, Elechi M.","Fantini, Alfred B."
"Allen, Ruth Ryan","Dexter, Emily R.","Rojas Villareal, Jose Luis",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dawson, Bernette J.","Bowman, Mannika L.","Kadete, Elechi M.","Weinstein, David J.","Rojas Villareal, Jose Luis","Allen, Ruth Ryan","Weinstain, Rachel","Wilson, Ayesha",skipped,skipped,skipped
"Rojas Villareal, Jose Luis",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kadete, Elechi M.","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Rojas Villareal, Jose Luis","Dexter, Emily R.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Lim, Christopher","Bowman, Mannika L.","Weinstain, Rachel",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Lim, Christopher","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kadete, Elechi M.","Wilson, Ayesha","Rojas Villareal, Jose Luis","Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Fantini, Alfred B.","Bowman, Mannika L.","Weinstain, Rachel","Wilson, Ayesha","Rojas Villareal, Jose Luis","Kadete, Elechi M.","Lim, Christopher","Weinstein, David J.","Dawson, Bernette J.","Allen, Ruth Ryan"
"Wilson, Ayesha","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dawson, Bernette J.","Bowman, Mannika L.","Wilson, Ayesha","Lim, Christopher","Rojas Villareal, Jose Luis","Weinstein, David J.","Allen, Ruth Ryan","Dexter, Emily R.",skipped,skipped,skipped
"Bowman, Mannika L.","Wilson, Ayesha",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dawson, Bernette J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Dexter, Emily R.","Bowman, Mannika L.","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Fantini, Alfred B.","Rojas Villareal, Jose Luis","Dawson, Bernette J.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Weinstein, David J.","Wilson, Ayesha","Bowman, Mannika L.","Kadete, Elechi M.","Lim, Christopher","Rojas Villareal, Jose Luis","Dawson, Bernette J.","Fantini, Alfred B.","Weinstain, Rachel","Allen, Ruth Ryan"
"Wilson, Ayesha","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Rojas Villareal, Jose Luis","Lim, Christopher","Fantini, Alfred B.","Allen, Ruth Ryan",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Weinstain, Rachel","Bowman, Mannika L.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Mannika L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kadete, Elechi M.","Dexter, Emily R.","Weinstain, Rachel","Rojas Villareal, Jose Luis",skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstain, Rachel","Dexter, Emily R.","Bowman, Mannika L.","Lim, Christopher","Kadete, Elechi M.","Wilson, Ayesha","Rojas Villareal, Jose Luis","Weinstain, Rachel",skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Wilson, Ayesha","Kadete, Elechi M.","Fantini, Alfred B.","Dexter, Emily R.","Weinstain, Rachel","Lim, Christopher","Rojas Villareal, Jose Luis","Weinstein, David J.",Write-In 1,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
