ballotID,precinctPortion,ballot_type,countingGroup,precinct,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10
00119_00000_829216,112,Ballot 16 - Type 16,Early,112,MIKE A TELLEZ,BEV COURTNEY,JESUSITA DOLORES LUCERO,WILLIAM BILL MATTIACE,ISABELLA SOLIS,EUGENIA (GINA) MONTOYA ORTEGA,JORGE SANCHEZ,ALEXANDER PAIGE FRESQUEZ,GREGORY Z SMITH,KEN MIYAGISHIMA
00119_00000_524172,116,Ballot 16 - Type 16,Early,116,GREGORY Z SMITH,ALEXANDER PAIGE FRESQUEZ,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_053448,102,Ballot 16 - Type 16,Early,102,KEN MIYAGISHIMA,GREGORY Z SMITH,EUGENIA (GINA) MONTOYA ORTEGA,JORGE SANCHEZ,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_853082,116,Ballot 16 - Type 16,Early,116,KEN MIYAGISHIMA,GREGORY Z SMITH,skipped,skipped,skipped,skipped,skipped,skipped,ISABELLA SOLIS,BEV COURTNEY
00119_00000_983966,112,Ballot 16 - Type 16,Early,112,BEV COURTNEY,MIKE A TELLEZ,JESUSITA DOLORES LUCERO,WILLIAM BILL MATTIACE,ISABELLA SOLIS,EUGENIA (GINA) MONTOYA ORTEGA,JORGE SANCHEZ,GREGORY Z SMITH,ALEXANDER PAIGE FRESQUEZ,KEN MIYAGISHIMA
00119_00000_748201,112,Ballot 16 - Type 16,Early,112,GREGORY Z SMITH,WILLIAM BILL MATTIACE,MIKE A TELLEZ,BEV COURTNEY,KEN MIYAGISHIMA,ISABELLA SOLIS,JORGE SANCHEZ,ALEXANDER PAIGE FRESQUEZ,JESUSITA DOLORES LUCERO,EUGENIA (GINA) MONTOYA ORTEGA
00119_00000_857345,089,Ballot 2 - Type 2,Early,089,EUGENIA (GINA) MONTOYA ORTEGA,JESUSITA DOLORES LUCERO,MIKE A TELLEZ,skipped,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_235722,059,Ballot 16 - Type 16,Early,059,KEN MIYAGISHIMA,GREGORY Z SMITH,ISABELLA SOLIS,BEV COURTNEY,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_684904,116,Ballot 16 - Type 16,Early,116,KEN MIYAGISHIMA,WILLIAM BILL MATTIACE,ISABELLA SOLIS,GREGORY Z SMITH,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_440313,062,Ballot 17 - Type 17,Early,062,MIKE A TELLEZ,KEN MIYAGISHIMA,ISABELLA SOLIS,skipped,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_067140,083.002,Ballot 20 - Type 20,Early,083,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_306788,059,Ballot 16 - Type 16,Early,059,WILLIAM BILL MATTIACE,MIKE A TELLEZ,BEV COURTNEY,JESUSITA DOLORES LUCERO,ISABELLA SOLIS,GREGORY Z SMITH,ALEXANDER PAIGE FRESQUEZ,EUGENIA (GINA) MONTOYA ORTEGA,JORGE SANCHEZ,KEN MIYAGISHIMA
00119_00000_512049,112,Ballot 16 - Type 16,Early,112,EUGENIA (GINA) MONTOYA ORTEGA,MIKE A TELLEZ,GREGORY Z SMITH,KEN MIYAGISHIMA,BEV COURTNEY,WILLIAM BILL MATTIACE,JESUSITA DOLORES LUCERO,ALEXANDER PAIGE FRESQUEZ,JORGE SANCHEZ,ISABELLA SOLIS
00119_00000_744601,083.002,Ballot 20 - Type 20,Early,083,overvote,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_667421,102,Ballot 16 - Type 16,Early,102,WILLIAM BILL MATTIACE,skipped,skipped,skipped,skipped,skipped,skipped,GREGORY Z SMITH,skipped,overvote
00119_00000_511263,112,Ballot 16 - Type 16,Early,112,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_356930,112,Ballot 16 - Type 16,Early,112,KEN MIYAGISHIMA,GREGORY Z SMITH,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_006325,067,Ballot 16 - Type 16,Early,067,KEN MIYAGISHIMA,GREGORY Z SMITH,JORGE SANCHEZ,skipped,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_634757,102,Ballot 16 - Type 16,Early,102,KEN MIYAGISHIMA,GREGORY Z SMITH,ALEXANDER PAIGE FRESQUEZ,skipped,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_628923,112,Ballot 16 - Type 16,Early,112,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,overvote
00119_00000_307961,083.002,Ballot 20 - Type 20,Early,083,KEN MIYAGISHIMA,GREGORY Z SMITH,BEV COURTNEY,WILLIAM BILL MATTIACE,ISABELLA SOLIS,MIKE A TELLEZ,JORGE SANCHEZ,overvote,JESUSITA DOLORES LUCERO,EUGENIA (GINA) MONTOYA ORTEGA
00119_00000_795764,059,Ballot 16 - Type 16,Early,059,KEN MIYAGISHIMA,GREGORY Z SMITH,ALEXANDER PAIGE FRESQUEZ,skipped,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_933721,112,Ballot 16 - Type 16,Early,112,ISABELLA SOLIS,GREGORY Z SMITH,KEN MIYAGISHIMA,JORGE SANCHEZ,BEV COURTNEY,JESUSITA DOLORES LUCERO,WILLIAM BILL MATTIACE,EUGENIA (GINA) MONTOYA ORTEGA,MIKE A TELLEZ,ALEXANDER PAIGE FRESQUEZ
00119_00000_579640,112,Ballot 16 - Type 16,Early,112,MIKE A TELLEZ,WILLIAM BILL MATTIACE,JESUSITA DOLORES LUCERO,skipped,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_865922,109.002,Ballot 17 - Type 17,Early,109,MIKE A TELLEZ,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_160212,073,Ballot 14 - Type 14,Early,073,BEV COURTNEY,JESUSITA DOLORES LUCERO,MIKE A TELLEZ,ISABELLA SOLIS,EUGENIA (GINA) MONTOYA ORTEGA,skipped,skipped,skipped,skipped,skipped
00119_00000_342031,112,Ballot 16 - Type 16,Early,112,KEN MIYAGISHIMA,GREGORY Z SMITH,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_738909,066.002,Ballot 16 - Type 16,Early,066,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_674628,067,Ballot 16 - Type 16,Early,067,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_071500,118,Ballot 16 - Type 16,Early,118,GREGORY Z SMITH,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_355349,059,Ballot 16 - Type 16,Early,059,BEV COURTNEY,MIKE A TELLEZ,JESUSITA DOLORES LUCERO,WILLIAM BILL MATTIACE,ISABELLA SOLIS,EUGENIA (GINA) MONTOYA ORTEGA,JORGE SANCHEZ,ALEXANDER PAIGE FRESQUEZ,GREGORY Z SMITH,KEN MIYAGISHIMA
00119_00000_070111,091,Ballot 20 - Type 20,Early,091,MIKE A TELLEZ,BEV COURTNEY,JESUSITA DOLORES LUCERO,WILLIAM BILL MATTIACE,MIKE A TELLEZ,skipped,JORGE SANCHEZ,GREGORY Z SMITH,ALEXANDER PAIGE FRESQUEZ,skipped
00119_00000_642904,099.002,Ballot 2 - Type 2,Early,099,BEV COURTNEY,KEN MIYAGISHIMA,WILLIAM BILL MATTIACE,skipped,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_044223,106,Ballot 16 - Type 16,Early,106,KEN MIYAGISHIMA,WILLIAM BILL MATTIACE,MIKE A TELLEZ,skipped,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_832868,112,Ballot 16 - Type 16,Early,112,ISABELLA SOLIS,EUGENIA (GINA) MONTOYA ORTEGA,MIKE A TELLEZ,JORGE SANCHEZ,BEV COURTNEY,ALEXANDER PAIGE FRESQUEZ,skipped,skipped,skipped,skipped
00119_00000_288399,106,Ballot 16 - Type 16,Early,106,KEN MIYAGISHIMA,WILLIAM BILL MATTIACE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_051715,061,Ballot 16 - Type 16,Early,061,MIKE A TELLEZ,BEV COURTNEY,ISABELLA SOLIS,WILLIAM BILL MATTIACE,EUGENIA (GINA) MONTOYA ORTEGA,JESUSITA DOLORES LUCERO,JORGE SANCHEZ,GREGORY Z SMITH,ALEXANDER PAIGE FRESQUEZ,KEN MIYAGISHIMA
00119_00000_108914,112,Ballot 16 - Type 16,Early,112,KEN MIYAGISHIMA,MIKE A TELLEZ,ALEXANDER PAIGE FRESQUEZ,skipped,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_008818,059,Ballot 16 - Type 16,Early,059,KEN MIYAGISHIMA,BEV COURTNEY,WILLIAM BILL MATTIACE,EUGENIA (GINA) MONTOYA ORTEGA,JESUSITA DOLORES LUCERO,ALEXANDER PAIGE FRESQUEZ,MIKE A TELLEZ,JORGE SANCHEZ,ISABELLA SOLIS,GREGORY Z SMITH
00119_00000_589969,113.001,Ballot 20 - Type 20,Early,113,WILLIAM BILL MATTIACE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_808653,112,Ballot 16 - Type 16,Early,112,KEN MIYAGISHIMA,WILLIAM BILL MATTIACE,GREGORY Z SMITH,JORGE SANCHEZ,ISABELLA SOLIS,MIKE A TELLEZ,BEV COURTNEY,ALEXANDER PAIGE FRESQUEZ,JESUSITA DOLORES LUCERO,EUGENIA (GINA) MONTOYA ORTEGA
00119_00000_635841,112,Ballot 16 - Type 16,Early,112,WILLIAM BILL MATTIACE,MIKE A TELLEZ,JESUSITA DOLORES LUCERO,BEV COURTNEY,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_046316,061,Ballot 16 - Type 16,Early,061,KEN MIYAGISHIMA,EUGENIA (GINA) MONTOYA ORTEGA,JESUSITA DOLORES LUCERO,WILLIAM BILL MATTIACE,ISABELLA SOLIS,MIKE A TELLEZ,ALEXANDER PAIGE FRESQUEZ,GREGORY Z SMITH,JORGE SANCHEZ,BEV COURTNEY
00119_00000_499687,116,Ballot 16 - Type 16,Early,116,KEN MIYAGISHIMA,ISABELLA SOLIS,JORGE SANCHEZ,skipped,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_269837,112,Ballot 16 - Type 16,Early,112,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_798886,102,Ballot 16 - Type 16,Early,102,KEN MIYAGISHIMA,GREGORY Z SMITH,WILLIAM BILL MATTIACE,MIKE A TELLEZ,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_568187,059,Ballot 16 - Type 16,Early,059,MIKE A TELLEZ,MIKE A TELLEZ,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_708270,062,Ballot 17 - Type 17,Early,062,WILLIAM BILL MATTIACE,skipped,skipped,ISABELLA SOLIS,skipped,skipped,JORGE SANCHEZ,BEV COURTNEY,GREGORY Z SMITH,KEN MIYAGISHIMA
00119_00000_222717,117.001,Ballot 16 - Type 16,Early,117,ISABELLA SOLIS,MIKE A TELLEZ,JORGE SANCHEZ,BEV COURTNEY,ISABELLA SOLIS,ALEXANDER PAIGE FRESQUEZ,JESUSITA DOLORES LUCERO,overvote,EUGENIA (GINA) MONTOYA ORTEGA,WILLIAM BILL MATTIACE
00119_00000_055952,112,Ballot 16 - Type 16,Early,112,KEN MIYAGISHIMA,GREGORY Z SMITH,MIKE A TELLEZ,WILLIAM BILL MATTIACE,JESUSITA DOLORES LUCERO,ISABELLA SOLIS,BEV COURTNEY,overvote,JORGE SANCHEZ,ALEXANDER PAIGE FRESQUEZ
00119_00000_115423,112,Ballot 16 - Type 16,Early,112,KEN MIYAGISHIMA,JESUSITA DOLORES LUCERO,ALEXANDER PAIGE FRESQUEZ,JORGE SANCHEZ,GREGORY Z SMITH,skipped,skipped,skipped,skipped,skipped
00119_00000_249666,068,Ballot 20 - Type 20,Early,068,WILLIAM BILL MATTIACE,BEV COURTNEY,MIKE A TELLEZ,ISABELLA SOLIS,JESUSITA DOLORES LUCERO,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped
00119_00000_553620,026,Ballot 2 - Type 2,Early,026,KEN MIYAGISHIMA,GREGORY Z SMITH,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_814358,112,Ballot 16 - Type 16,Early,112,ISABELLA SOLIS,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_831907,117.001,Ballot 16 - Type 16,Early,117,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_426926,041,Ballot 19 - Type 19,Early,041,WILLIAM BILL MATTIACE,KEN MIYAGISHIMA,EUGENIA (GINA) MONTOYA ORTEGA,skipped,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_226645,106,Ballot 16 - Type 16,Early,106,GREGORY Z SMITH,ISABELLA SOLIS,EUGENIA (GINA) MONTOYA ORTEGA,skipped,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_343245,105.002,Ballot 17 - Type 17,Early,105,WILLIAM BILL MATTIACE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_377990,062,Ballot 17 - Type 17,Early,062,WILLIAM BILL MATTIACE,skipped,ISABELLA SOLIS,skipped,skipped,skipped,skipped,skipped,skipped,KEN MIYAGISHIMA
00119_00000_935414,102,Ballot 16 - Type 16,Early,102,KEN MIYAGISHIMA,GREGORY Z SMITH,WILLIAM BILL MATTIACE,skipped,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_959813,102,Ballot 16 - Type 16,Early,102,GREGORY Z SMITH,WILLIAM BILL MATTIACE,JESUSITA DOLORES LUCERO,ISABELLA SOLIS,ALEXANDER PAIGE FRESQUEZ,JORGE SANCHEZ,EUGENIA (GINA) MONTOYA ORTEGA,BEV COURTNEY,KEN MIYAGISHIMA,MIKE A TELLEZ
00119_00000_313877,106,Ballot 16 - Type 16,Early,106,MIKE A TELLEZ,BEV COURTNEY,JESUSITA DOLORES LUCERO,skipped,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_913813,059,Ballot 16 - Type 16,Early,059,KEN MIYAGISHIMA,EUGENIA (GINA) MONTOYA ORTEGA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_210593,059,Ballot 16 - Type 16,Early,059,WILLIAM BILL MATTIACE,MIKE A TELLEZ,JESUSITA DOLORES LUCERO,ISABELLA SOLIS,BEV COURTNEY,EUGENIA (GINA) MONTOYA ORTEGA,skipped,KEN MIYAGISHIMA,skipped,skipped
00119_00000_922178,102,Ballot 16 - Type 16,Early,102,MIKE A TELLEZ,JESUSITA DOLORES LUCERO,BEV COURTNEY,EUGENIA (GINA) MONTOYA ORTEGA,ISABELLA SOLIS,JORGE SANCHEZ,ALEXANDER PAIGE FRESQUEZ,WILLIAM BILL MATTIACE,GREGORY Z SMITH,KEN MIYAGISHIMA
00119_00000_943647,113.001,Ballot 20 - Type 20,Early,113,KEN MIYAGISHIMA,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_455178,040.002,Ballot 19 - Type 19,Early,040,KEN MIYAGISHIMA,GREGORY Z SMITH,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_988555,089,Ballot 2 - Type 2,Early,089,EUGENIA (GINA) MONTOYA ORTEGA,JESUSITA DOLORES LUCERO,MIKE A TELLEZ,skipped,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_464764,102,Ballot 16 - Type 16,Early,102,KEN MIYAGISHIMA,GREGORY Z SMITH,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_749415,059,Ballot 16 - Type 16,Early,059,WILLIAM BILL MATTIACE,KEN MIYAGISHIMA,EUGENIA (GINA) MONTOYA ORTEGA,skipped,skipped,skipped,skipped,skipped,skipped,skipped
00119_00000_882510,116,Ballot 16 - Type 16,Early,116,MIKE A TELLEZ,ISABELLA SOLIS,WILLIAM BILL MATTIACE,JESUSITA DOLORES LUCERO,BEV COURTNEY,skipped,skipped,skipped,skipped,skipped
